"name","samaksa","tips","statuss","vertejums","klase","garums","symb","latitude","longitude","desc","id","whatjson","apraksts","datums"
"Atpūtas vieta 'Tikšanās vieta'","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.364014,22.107398,"Paveca LVM atpūtas vieta netālu no ceļa. Sākumā šķita, ka nekas īpašs, taču beigās paēdām pusdienas un vietai kopumā nav ne vainas. Varētu arī teltī palikt. Apkārt daudz melleņu. Ir tikai galds ar soliem, lietojamā stāvoklī","tiksanas-vieta","none",,"08/22/2015"
"Atpūtas vieta 'Tīteņi Steķu silā'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.401778,26.220981,"Atpūtas - piknika un peldvieta pie  sena karjera meža masīvā","none","none",,
"Atpūtas vieta 'Ventmala'","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.479328,22.105548,"Atpūtas vieta Ventas upes krastā. Piebraukšana pa ceļu ved gar kājām mājām, ceļš ir visai izbraucams arī ar vieglo auto. Nojume ir novecojusi, taču funkcionāla. Vieta ir jauka, ar plašu laukumu teltīm un skatu uz Ventas upi.","none","none",,
"Atpūtas vieta 'Zemenīte'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.886488,26.76506,"Dabas parks Daugavas loki - pļavā ainava un nogāze uz Daugavu, piknika un atpūtas vieta lielākai kompānijai","none","none",,
"Atpūtas vieta 'Zīvartiņš'","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.072819,23.283209,"Padomju stila kempings. Vecais apraksts: Caur aizsargājamo priežu mežu apmēram 100 m garā laipu taka aizvedīs tevi uz jūru. Atpūties telts un ugunskura vietās ar galdiem, soliem un ģērbtuvēm. Līdz jūrai iespēja aizbraukt ar bērnu ratiņiem un ratiņkrēsliem.","none","none",,
"Atpūtas vieta Avotu karjerā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.768545,21.295054,"Atpūtas vieta pie ūdenstilpnes","none","none",,
"Atpūtas vieta Bārtas upes krastā","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.362567,21.159062,"Atpūtas vieta Bārtas upes krastā , ir tualete, galdi, jauka vieta pie upes. Piebraukt var gan no Laukgala puses (Rietumiem), gan no Ķīburu ceļa puses (Ziemeļiem)","atputa-barta","none","true","08/30/2014"
"Atpūtas vieta ceļā uz Ložmetējkalnu","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.864164,23.637536,"Labiekārtota, jauka atpūtas vieta ar soliem, ugunskura vietu. Ziemassvētku kauju piemiņas vietās, kuras saglabājušās no 1916. gada, apskati krievu un vācu ierakumus, piemiņas akmeņus latviešu strēlnieku pulku izejas pozīcijās, piemiņas zīmes frontes pārrāvuma vietās, brāļu kapus un Kara muzeja filiāli 'Mangaļi'.","none","none",,
"Atpūtas vieta ceļā uz Miķeļtorni","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.582067,21.980835,"No ceļa netiek. Laivotāju vieta pie Irbes upes","none","none",,
"Atpūtas vieta dabas liegumā 'Dunika'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.273265,21.377725,"Atpūtas vieta dabas takas malā","none","none",,
"Atpūtas vieta dabas liegumā 'Dunika'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.266028,21.379367,"Atpūtas vieta dabas takas malā","none","none",,
"Atpūtas vieta dabas liegumā 'Dunika'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.248531,21.388425,"Atpūtas vieta dabas takas malā","none","none",,
"Atpūtas vieta Dauģēni","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.897001,25.009927,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. ","none","none",,
"Atpūtas vieta Draudzības pļaviņā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.861316,25.03399,"Atpūtas vieta Mazsalacā, kurā bez maksas drīkst būvēt telti, netālu no Skaņākalna ieejas","none","none",,
"Atpūtas vieta Dzelzsāmurs","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.834641,24.785357,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. Ar auto iespējams tikt klāt ir, bet pagrūti (šaurs meža ceļš)","none","none",,
"Atpūtas vieta Ievlīči","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.901127,25.005049,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. ","none","none",,
"Atpūtas vieta Kalētu upmalā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.309596,21.452267,"Atpūtas vieta Bārtas upes krastā","none","none",,
"Atpūtas vieta Karjers","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.61599,24.450729,"Priekšā barjera un aizliegums, no visiem ceļiem! Neeksistē (LVM atpūtas vieta pie neliela karjera)","none","none",,
"Atpūtas vieta Ķekari","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.861457,24.697056,"Maksas un privāts. Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. ","none","none",,
"Atpūtas vieta Nikuce","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.916105,25.003408,"Labiekārtota atpūtas vieta pie Salacas upes, iespējams būvēt telti. ","none","none",,
"Atpūtas vieta Papes dabas parkā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.267235,20.997412,"Atpūtas vieta dabas parkā Pape","none","none",,
"Atpūtas vieta Papes dabas parkā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.243341,20.993359,"Atpūtas vieta dabas parkā Pape","none","none",,
"Atpūtas vieta Papes dabas parkā","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.219528,20.984109,"Atpūtas vieta dabas takas maršrutā","none","none",,
"Atpūtas vieta pie Bekām","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.703433,26.102653,"Atpūtas vieta pie Gaujas.","none","none",,
"Atpūtas vieta pie Cepurītes ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.653749,26.193441,"Atpūtas vieta pie ezera ar vienkāršu galdu, bez citām ekstrām. Jauks ezers, skrajš mežs blakus, nomaļa vieta, piemērota arī nakšņošanai teltī.","cepurites-ez","none",,
"Atpūtas vieta pie Cieceres upes","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.686943,22.08452,"Jauka atpūtas vieta Cieceres upes krastā, piebraukt var no divām pusēm, ir ugunskura vieta. Satikām pamatīgu atpūtnieku kompāniju, tā kā vietējie šo vietu pazīst. Ja tā ir brīva, telti varētu celt","none","none",,"04/12/2015"
"Atpūtas vieta pie Darvas ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.59547,26.229842,"Atpūtas vieta pie ezera ar koka galdu, nelielu ugunskura vietu. Klusa, nomaļa vieta, droši vien piemērota arī pārnakšņošanai teltī.","darvas-ez","none",,
"Atpūtas vieta pie Daugavas","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",55.88766,27.12854,"Ainaviska vieta atpūtai pie Daugavas, ir galdiņš ar nojumi, ugunskura vieta, vienkārša tualete, peldvieta, šūpoles. Labākais piebraukšanas ceļš ir uzreiz pa kreisi no taisnā ceļa uz Krāslavas Ūdeni. ","none","none",,
"Atpūtas vieta pie Dauģēnu klints","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.894645,25.014788,"Atpūtas vieta pie Dauģēnu klints, Salacas krastā. Bez maksas un pieejama visiem. Tapusi Riverways projekta ietvaros","none","none",,
"Atpūtas vieta pie Dūņezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.303034,22.002346,"Paveca LVM atpūtas vieta ap 20m no ezera. Ezers ir ļoti aizaudzis, peldēt nevar. Atpūtas vieta veca. Palikt te negribētos, ja nu vien kā pēdējo variantu nakts vidū","atputa-dunezers","none",,"08/22/2015"
"Atpūtas vieta pie Egļukalna","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",55.87359,26.33071,"Blakus skatu tornim arī atpūtas vietas un neliela izziņas taka. ","none","none",,
"Atpūtas vieta pie Gaišā ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.938976,26.486793,"Daugavpils aizsargjoslas meža  - ezers ar vairākām peldvietām un atpūtas iespējām","none","none",,
"Atpūtas vieta pie Gaišezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.94057,26.48627,"Daugavpils aizsargjoslas meža - ezers ar vairākām peldvietām un atpūtas iespējām","none","none",,
"Atpūtas vieta pie Gaujas","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.668465,25.977151,"Atpūtas vieta pie Gaujas.","none","none",,
"Atpūtas vieta pie Gaujas","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.656719,25.974467,"Atpūtas vieta pie Gaujas.","none","none",,
"Atpūtas vieta pie Gaujas","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.618072,25.708288,"Atpūtas vieta pie Gaujas.","none","none",,
"Atpūtas vieta pie Gaujas","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.622992,25.730339,"Atpūtas vieta pie Gaujas.","none","none",,
"Atpūtas vieta pie Gaujas (Tirziņas ieteka)","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.392349,26.429933,"Atpūtas vieta pie Tirziņas ietekas Gaujā.","none","none",,
"Atpūtas vieta pie Gaujas tilta Strenči","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.618683,25.697601,"Atpūtas vieta pie Gaujas. Laivotāju pieturvieta.","none","none",,
"Atpūtas vieta pie Gaujas tilta Strenči","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.618341,25.700281,"Atpūtas vieta pie Gaujas. Laivotāju pieturvieta.","none","none",,
"Atpūtas vieta pie Ģendertu klints","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.884702,24.996479,"Atpūtas vieta pie Ģendertu klints, Salacas krastā. Bez maksas un pieejama visiem. Tapusi Riverways projekta ietvaros","none","none",,
"Atpūtas vieta pie Grigaļupes","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",56.787631,21.070159,"Atpūtas vieta meža ceļa malā","none","none",,
"Atpūtas vieta pie Irbes","bezmaksas","pikniks","parbaudits","standarta","videja",,"Campground",57.5518676,21.8675825,"Ir 2 galdi, tualete, ugunskura vieta un pat vieta atkritumiem. Info stends par laivošanu kurzemē. Peldvietas labas nav, bet ar laivu te var piestāt. Blakus daži grauzti un nodedzis vecs tilts. Aprīkojums ir labs un jauns, bet pati vieta nav īpaši jauka","atputa-irbes","none",,"22/08/2015"
"Atpūtas vieta pie Janopoles dīķa","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.42794,27.398318,"Dīķa krastā atpūties koka lapenē ar iekārtotu ugunskura vietu","none","none",,
"Atpūtas vieta pie Jazinka","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.087259,27.124571,"Netālu no Čortoka ezera ir atpūtas vieta ar nojumi, galdu un tualeti","none","none",,
"Atpūtas vieta pie Kaļņa ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.101788,26.979161,"Atpūtas vieta pie meža ezera ar lapeni. Izskatās, ka šo vietu aktīvi izmanto par vasaras atpūtas bāzi, sastapām ļoti daudz automašīnu, kemperu, vesela pilsētiņa izveidota. ","kalnis","none",,"07/19/2015"
"Atpūtas vieta pie Kaļņa ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.098195,26.975669,"Atpūtas vieta pie meža ezera ar lapeni - vigvamu.","kalnis","none",,"07/19/2015"
"Atpūtas vieta pie Kaļņa ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.090676,26.98981,"Ezera krastā atpūties guļbaļķu lapenē ar iekārtotu ugunskura vietu","kalnis","none",,"07/19/2015"
"Atpūtas vieta pie Kapu ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.806519,26.560149,"Ezera krastā atpūties peldvietā, kurā vari netraucēti veldzēties ezera ūdeņos","none","none",,
"Atpūtas vieta pie Kaupēna ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.229103,25.674294,"Labiekārtota atpūtas vieta ar Centrālvidzemei raksturīgo ainavu - ezeru, pauguraini un mežiem – ideāli piemērota brīvdienu atpūtai. Veselības veicināšanas un izziņas nolūkos var doties nelielā pastaigā pa izveidoto meža taku.","none","none",,
"Atpūtas vieta pie Klievezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.414209,25.908362,"Atpūtas vieta pie ezeriņa Smiltenes teritorijā. Ir plaša pludmale, ir ugunskura vietas, potenciāli iespējams palikt teltī, taču tuvums pilsētai varētu nozīmēt, ka te vienmēr ir vietējie, kuri atpūšas","klievezers","none",,"06/24/2015"
"Atpūtas vieta pie Kokšu (Zāļu) ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.673547,26.077176,"Atpūtas vieta pie meža ezeru kaskādes.","none","none",,
"Atpūtas vieta pie Kokšu (Zāļu) ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.667707,26.081553,"Atpūtas vieta pie meža ezeru kaskādes.","none","none",,
"Atpūtas vieta pie Kokšu (Zāļu) ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.668028,26.078436,"Atpūtas vieta pie meža ezeru kaskādes.","none","none",,
"Atpūtas vieta pie Kovšu ezera (Kaušezers)","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.230069,28.031398,"Ezera krastā makšķerē un atpūties koka lapenē ar iekārtotu ugunskura vietu","none","none",,
"Atpūtas vieta pie Kovšu ezera (Kaušezers)","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.228944,28.034751,"Ugunskura un atpūtas vieta","none","none",,
"Atpūtas vieta pie Kovšu ezera (Kaušezers)","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.233471,28.024167,"Ugunskura un atpūtas vieta","none","none",,
"Atpūtas vieta pie Kovšu ezerav (Kaušezers)","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.229737,28.037999,"Ezera krastā makšķerē un atpūties koka lapenē ar iekārtotu ugunskura vietu.","none","none",,
"Atpūtas vieta pie Krūtes pilskalna","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.331385,21.38851,"Atpūtas vieta Bārtas upes un Vārtājas upes ietekā","none","none",,
"Atpūtas vieta pie Lašupes dzirnavu dīķa","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.710623,22.291644,"Atpūtas vieta pie Lašupes dzirnavu dīķa","none","none",,
"Atpūtas vieta pie Lazdaga ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.054828,26.968765,"Ezera krastā atpūties lapenē ar iekārtotu ugunskura vietu. Plaša vieta teltīm, piekļuve ūdenim. Vieta patīkama.","lazdags","none",,"07/19/2015"
"Atpūtas vieta pie Līdaču (Leidaču) ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.23739,27.053631,"Līdaču ezera apkārtne bagāta ar sēņu un ogu vietām. Atpūties lapenē ar iekārtotu ugunskura vietu","none","none",,
"Atpūtas vieta pie Lielā Svētiņu ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.764456,27.150648,"Ezera krastā atpūties koka lapenē ar iekārtotu ugunskura vietu. Šeit atradīsi peldvietu, kurā varēsi netraucēti veldzēties ezera ūdeņos.","none","none",,
"Atpūtas vieta Pie medņa","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.922842,26.511843,"Atpūtas vietas tuvumā nejauši vari sastapt meža putnu karali - medni. Dīķa pussalā labiekārtota grila vieta ar laipu pāri dīķim, lapene","none","none",,
"Atpūtas vieta pie Meistara ezera (Malstara ezers)","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.508333,27.158818,"Atpūtas vieta pie meža ezera.","none","none",,
"Atpūtas vieta pie Mežmuižas ezera","bezmaksas","parks","slikts","standarta","vidēja",,"Campground",57.1236947,22.2747803,"Pieturas vieta sen aizlaistā pastaigu maršrutā ap ezeru, īpaši nakšņošanai vai piknikam šeit braukt nav vērts. Izņēmām. LVM apsaimniekota atpūtas vieta pie Mežmuižas ezera","none","none",,
"Atpūtas vieta pie Motrīnes ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.870344,27.603313,"Ezera krastā atpūties piknika vietā ar galdu, soliem un iekārtotu ugunskura vietu. Šeit atradīsi peldvietu, kurā varēsi netraucēti veldzēties ezera ūdeņos.","none","none",,
"Atpūtas vieta pie Pātraža ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.339285,26.722992,"Atpūtas vieta pie meža ezera. Ezerā ierīkota laipa.","none","none",,
"Atpūtas vieta pie Pīļezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.285527,24.894032,"Atpūtas vietas pie ezera ar peldvietām. Apkārtējie meži piemēroti ogošanai un sēņošanai.","none","none",,
"Atpūtas vieta pie Pinku ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.001364,21.691186,"Atpūtas vieta Pinku ezera krastā","none","none",,
"Atpūtas vieta pie Pinku ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.999361,21.69266,"Atpūtas vieta Pinku ezera krastā","none","none",,
"Atpūtas vieta pie Plisūna (Plusona) ezera","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.210449,28.010585,"Šai ezerā ieraudzīsi vienu no Latvijas dižakmeņiem, kuram piekļūt izdosies pa koka laipām. Atpūties lapenē ar iekārtotu ugunskura vietu.","none","none",,
"Atpūtas vieta pie Puteru ezera","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.602846,22.193698,"LVM Atpūtas vieta pie meža ezera. Uz ezeru ved ļoti stāva nogāze, peldvietas nav, ieiet ūdenī grūti. Atpūtas vieta paveca un nolietota, taču vajadzības gadījumā nakšņot teltī te varētu. Nav īpaša brauciena vērta gan","atputa-puteru","none",,"23/08/2015"
"Atpūtas vieta pie Rindas upes","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.516309,21.884517,"Laivotāju Atpūtas vieta pie Rindas upes. Ir galds, tualete. Vieta tuvu ceļam, pie upes piekļūšana pa stāvu nogāzi. Nav īpaši jauka vieta, paši diez vai te paliktu, ja vienīgi ar laivu garām braucot","atputa-rinda","none",,"08/22/2015"
